number,name,color_code,font,point_size,is_bonus_game,bonus_game_name
000,総記,,,,false,
010,図書館、図書館情報学,,,,false,
020,図書、書誌学,,,,false,
030,百科事典、用語索引,,,,false,
040,一般論文集、一般講演集、雑著,,,,false,
050,逐次刊行物、一般年鑑,,,,false,
060,団体、博物館,,,,false,
070,ジャーナリズム、新聞,,,,false,
080,叢書、全集、選集,,,,false,
090,貴重書、郷土資料、その他の特別コレクション,,,,false,
100,哲学,,,,false,
110,哲学各論,,,,false,
120,東洋思想,,,,false,
130,西洋哲学,,,,false,
140,心理学,,,,false,
150,倫理学、道徳,,,,false,
160,宗教,,,,false,
170,神道,,,,false,
180,仏教,,,,false,
190,キリスト教、ユダヤ教,,,,false,
200,歴史、世界史、文化史,,,,false,
210,日本史,,,,false,
220,アジア史、東洋史,,,,false,
230,ヨーロッパ史、西洋史,,,,false,
240,アフリカ史,,,,false,
250,北アメリカ史,,,,false,
260,南アメリカ史,,,,false,
270,オセアニア史、両極地方史,,,,false,
280,伝記,,,,false,
290,地理、地誌、紀行,,,,false,
300,社会科学,,,,false,
310,政治,,,,false,
320,法律,,,,false,
330,経済,,,,false,
340,財政,,,,false,
350,統計,,,,false,
360,社会,,,,false,
370,教育,,,,false,
380,風俗習慣、民俗学、民族学,,,,false,
390,国防、軍事,,,,false,
400,自然科学,,,,false,
410,数学,,,,false,
420,物理学,,,,false,
430,化学,,,,false,
440,天文学、宇宙科学,,,,false,
450,地球科学、地学,,,,false,
460,生物科学、一般生物学,,,,false,
470,植物学,,,,false,
480,動物学,,,,false,
490,医学、薬学,,,,false,
500,技術、工学,,,,false,
510,建設工学、土木工学,,,,false,
520,建築学,,,,false,
530,機械工学、原子力工学,,,,false,
540,電気工学,,,,false,
550,海洋工学、船舶工学、兵器、軍事工学,,,,false,
560,金属工学、鉱山工学,,,,false,
570,化学工業,,,,false,
580,製造工業,,,,false,
590,家政学、生活科学,,,,false,
600,産業,,,,false,
610,農業,,,,false,
620,園芸、造園,,,,false,
630,蚕糸業,,,,false,
640,畜産業、獣医学,,,,false,
650,林業、狩猟,,,,false,
660,水産業,,,,false,
670,商業,,,,false,
680,運輸、交通、観光事業,,,,false,
690,通信事業,,,,false,
700,芸術、美術,,,,false,
710,彫刻、オブジェ,,,,false,
720,絵画、書、書道,,,,false,
730,版画、印章、篆刻、印譜,,,,false,
740,写真、印刷,,,,false,
750,工芸,,,,false,
760,音楽、舞踊、バレエ,,,,false,
770,演劇、映画、大衆芸能,,,,false,
780,スポーツ、体育,,,,false,
790,諸芸、娯楽,,,,false,
800,言語,,,,false,
810,日本語,,,,false,
820,中国語、その他の東洋の諸言語,,,,false,
830,英語,,,,false,
840,ドイツ語、その他のゲルマン諸語,,,,false,
850,フランス語、プロバンス語,,,,false,
860,スペイン語、ポルトガル語,,,,false,
870,イタリア語、その他のロマンス諸語,,,,false,
880,ロシア語、その他のスラブ諸語,,,,false,
890,その他の諸言語,,,,false,
900,文学,,,,false,
910,日本文学,,,,false,
920,中国文学、その他の東洋文学,,,,false,
930,英米文学,,,,false,
940,ドイツ文学、その他のゲルマン文学,,,,false,
950,フランス文学、プロバンス文学,,,,false,
960,スペイン文学、ポルトガル文学,,,,false,
970,イタリア文学、その他のロマンス文学,,,,false,
980,ロシア・ソビエト文学、その他のスラブ文学,,,,false,
990,その他の諸言語文学,,,,false,
